run_id,agent,env,trial,state,sharpe,mean_pnl,std_pnl,n_train_steps,n_eval_episodes,p_learning_rate,p_n_steps,p_batch_size,p_n_epochs,p_gamma,p_ent_coef,p_clip_range,p_gae_lambda
tuned_v1,PPOAgent,ABMJumpEnv,9,COMPLETE,0.9198,11.741,12.7648,30000,5,9.324140221663491e-05,1024,64,4,0.9284840494377468,0.0001290211302456716,0.1,0.8557292928473224
tuned_v1,PPOAgent,ABMJumpEnv,10,COMPLETE,-0.326159,-5.3789,16.4915,30000,5,1.1557089002178087e-05,1024,256,4,0.9014744263333857,0.005940003250057244,0.1,0.9953354271899573
tuned_v1,PPOAgent,ABMJumpEnv,11,COMPLETE,0.226694,0.8394,3.7029,30000,5,1.204963329640089e-05,1024,64,4,0.9102019529445723,0.0004461317588260248,0.1,0.9482591329965816
tuned_v1,PPOAgent,ABMJumpEnv,12,COMPLETE,0.508893,6.5884,12.9466,30000,5,3.949488603921609e-05,1024,64,4,0.9198032395763786,0.00010916416134204503,0.1,0.8908287271436888
tuned_v1,PPOAgent,ABMJumpEnv,13,COMPLETE,0.363048,4.2563,11.7237,30000,5,0.00025014538417551726,1024,64,6,0.9254949019199943,0.0003743830247301663,0.1,0.9430036011807783
tuned_v1,PPOAgent,ABMJumpEnv,14,COMPLETE,0.496149,9.878,19.9094,30000,5,7.482128044146005e-05,1024,64,3,0.913510395088571,0.004109566922838405,0.2,0.8010436261827207
tuned_v1,PPOAgent,ABMJumpEnv,15,COMPLETE,-0.613065,-7.0001,11.4182,30000,5,0.008089028902998176,2048,256,5,0.9324261773352824,0.0007837279730402543,0.1,0.872009770580616
tuned_v1,PPOAgent,ABMJumpEnv,16,COMPLETE,0.566889,12.4047,21.882,30000,5,2.209464304357779e-05,1024,64,3,0.9004050960989936,0.0002380880026515715,0.1,0.9689902388533533
tuned_v1,PPOAgent,ABMJumpEnv,17,COMPLETE,0.160479,2.9773,18.5524,30000,5,0.00040783224221389836,1024,64,3,0.9390585352057113,0.0014665861669762496,0.1,0.9199281688839248
tuned_v1,PPOAgent,ABMJumpEnv,18,COMPLETE,-0.165013,-0.4827,2.9251,30000,5,0.00010453012224929935,2048,64,6,0.9167151298120376,0.00914384483021716,0.2,0.8350170081158618
tuned_v1,PPOAgent,ABMJumpEnv,19,COMPLETE,0.49762,6.6805,13.425,30000,5,2.694811308665263e-05,512,256,5,0.98190673762345,0.0001970202854460588,0.1,0.9225675956815464
tuned_v1,PPOAgent,ABMJumpEnv,20,COMPLETE,-0.403611,-8.7988,21.8002,30000,5,0.0002368173574967037,1024,64,3,0.9265048784362377,0.0005845381429131724,0.1,0.9624432052865858
tuned_v1,PPOAgent,ABMJumpEnv,21,COMPLETE,-0.277567,-3.9848,14.3563,30000,5,5.62134124362943e-05,1024,512,10,0.9577407966471816,0.015226910253398472,0.3,0.9161553027948185
tuned_v1,PPOAgent,ABMJumpEnv,22,COMPLETE,0.159846,0.6376,3.989,30000,5,2.0071152882931654e-05,1024,512,9,0.9731916942782881,0.0427634080453604,0.3,0.8717770752725362
